lat,lon,name,ele,time,At,d,v,stops
41.603468,2.282944,E7,133.248,2022-04-29 15:37:04+00:00,3.0,5.351705482983955,1.7839018276613183,flight
41.603443,2.282889,E7,132.82,2022-04-29 15:37:07+00:00,4.0,5.260252033348441,1.3150630083371102,flight
41.603428,2.282829,E7,132.72,2022-04-29 15:37:11+00:00,5.0,5.576676134848868,1.1153352269697736,flight
41.603413,2.282765,E7,132.631,2022-04-29 15:37:16+00:00,4.0,5.460168468663194,1.3650421171657985,flight
41.603402,2.282701,E7,132.463,2022-04-29 15:37:20+00:00,4.0,5.131343380187585,1.2828358450468962,flight
41.603395,2.28264,E7,132.475,2022-04-29 15:37:24+00:00,13.0,5.462055012629755,0.4201580778945966,stop
41.603375,2.28258,E7,132.336,2022-04-29 15:37:37+00:00,2.0,7.009352575089498,3.504676287544749,flight
41.603353,2.282501,E7,132.343,2022-04-29 15:37:39+00:00,2.0,6.266185208092956,3.133092604046478,flight
41.603339,2.282428,E7,132.364,2022-04-29 15:37:41+00:00,2.0,5.492209645082793,2.7461048225413967,flight
41.603341,2.282362,E7,132.31,2022-04-29 15:37:43+00:00,3.0,5.927307992183449,1.9757693307278164,flight
41.603325,2.282294,E7,132.309,2022-04-29 15:37:46+00:00,4.0,6.406185527797403,1.6015463819493507,flight
41.603327,2.282217,E7,132.335,2022-04-29 15:37:50+00:00,3.0,5.8828297952691475,1.9609432650897158,flight
41.603344,2.28215,E7,132.254,2022-04-29 15:37:53+00:00,4.0,5.095148858451411,1.2737872146128528,flight
41.603367,2.282097,E7,132.255,2022-04-29 15:37:57+00:00,6.0,6.1262027061910675,1.021033784365178,flight
41.6034,2.282038,E7,132.157,2022-04-29 15:38:03+00:00,7.0,5.568899281108416,0.795557040158345,flight
41.603417,2.281975,E7,132.097,2022-04-29 15:38:10+00:00,4.0,5.030112727916726,1.2575281819791815,flight
41.603407,2.281916,E7,131.798,2022-04-29 15:38:14+00:00,5.0,5.99071073557741,1.1981421471154818,flight
41.603405,2.281844,E7,131.46,2022-04-29 15:38:19+00:00,5.0,5.970079717636977,1.1940159435273954,flight
41.603413,2.281773,E7,131.352,2022-04-29 15:38:24+00:00,6.0,5.363064958540319,0.8938441597567198,flight
41.603419,2.281709,E7,131.313,2022-04-29 15:38:30+00:00,5.0,5.4507977861734185,1.0901595572346836,flight
41.603464,2.281683,E7,131.375,2022-04-29 15:38:35+00:00,5.0,5.663845325775484,1.1327690651550968,flight
41.603514,2.28167,E7,131.228,2022-04-29 15:38:40+00:00,5.0,5.22314989908255,1.04462997981651,flight
41.603538,2.281616,E7,131.22,2022-04-29 15:38:45+00:00,13.0,5.483045884090569,0.42177276031465916,stop
41.603505,2.281665,E7,131.109,2022-04-29 15:38:58+00:00,5.0,5.497385520380808,1.0994771040761617,flight
41.60349,2.281728,E7,131.138,2022-04-29 15:39:03+00:00,5.0,5.479550097566245,1.095910019513249,flight
41.603441,2.281735,E7,131.147,2022-04-29 15:39:08+00:00,4.0,5.93366590836877,1.4834164770921925,flight
41.60339,2.281714,E7,131.148,2022-04-29 15:39:12+00:00,8.0,5.1697536909148525,0.6462192113643566,flight
41.603381,2.281653,E7,131.19,2022-04-29 15:39:20+00:00,6.0,5.070221395894018,0.8450368993156697,flight
41.603337,2.281669,E7,131.16,2022-04-29 15:39:26+00:00,6.0,5.865111141083498,0.9775185235139164,flight
41.603286,2.281687,E7,131.011,2022-04-29 15:39:32+00:00,10.0,5.218312859728538,0.5218312859728538,stop
41.603244,2.281715,E7,130.913,2022-04-29 15:39:42+00:00,330.0,5.125768112989249,0.015532630645421966,stop
41.60329,2.281719,E7,130.935,2022-04-29 15:45:12+00:00,5.0,5.920889572039801,1.1841779144079603,flight
41.603247,2.281677,E7,131.036,2022-04-29 15:45:17+00:00,10.0,5.187461952459056,0.5187461952459056,stop
41.603284,2.281715,E7,131.173,2022-04-29 15:45:27+00:00,8.0,5.0829327074149395,0.6353665884268674,flight
41.603281,2.281776,E7,131.385,2022-04-29 15:45:35+00:00,16.0,5.45425827860726,0.34089114241295376,stop
41.60333,2.281773,E7,131.313,2022-04-29 15:45:51+00:00,14.0,6.669438167386814,0.4763884405276296,stop
41.603275,2.281805,E7,131.309,2022-04-29 15:46:05+00:00,8.0,5.37535442426504,0.67191930303313,flight
41.603293,2.281745,E7,131.388,2022-04-29 15:46:13+00:00,6.0,5.4045621936757255,0.900760365612621,flight
41.603293,2.28168,E7,131.327,2022-04-29 15:46:19+00:00,4.0,5.594539040042693,1.3986347600106732,flight
41.60328,2.281615,E7,131.388,2022-04-29 15:46:23+00:00,78.0,6.72580005351741,0.08622820581432576,stop
41.603267,2.281694,E7,131.31,2022-04-29 15:47:41+00:00,57.0,5.415154727079388,0.0950027145101647,stop
41.603315,2.281683,E7,131.36,2022-04-29 15:48:38+00:00,5.0,6.783400128399775,1.356680025679955,flight
41.603376,2.281684,E7,131.411,2022-04-29 15:48:43+00:00,3.0,6.983764812676718,2.3279216042255726,flight
41.603437,2.281704,E7,131.663,2022-04-29 15:48:46+00:00,4.0,5.673664955149237,1.4184162387873092,flight
41.603476,2.281748,E7,131.785,2022-04-29 15:48:50+00:00,4.0,5.921190585008334,1.4802976462520836,flight
41.603496,2.281814,E7,131.856,2022-04-29 15:48:54+00:00,39.0,5.517748129340963,0.1414807212651529,stop
41.603486,2.281749,E7,131.841,2022-04-29 15:49:33+00:00,4.0,5.235204903280765,1.3088012258201913,flight
41.603466,2.281692,E7,131.881,2022-04-29 15:49:37+00:00,3.0,5.48430551059699,1.8281018368656632,flight
41.603421,2.281665,E7,131.709,2022-04-29 15:49:40+00:00,3.0,6.978307990202274,2.326102663400758,flight
41.603359,2.281678,E7,131.709,2022-04-29 15:49:43+00:00,6.0,5.140691299725002,0.8567818832875003,flight
41.603319,2.281709,E7,131.755,2022-04-29 15:49:49+00:00,47.0,5.247389684532556,0.11164658903260757,stop
41.603276,2.281735,E7,131.764,2022-04-29 15:50:36+00:00,43.0,5.158036876186765,0.11995434595783175,stop
41.60323,2.281727,E7,131.635,2022-04-29 15:51:19+00:00,117.0,5.249918966317335,0.04487110227621654,stop
41.603183,2.281733,E7,131.617,2022-04-29 15:53:16+00:00,35.0,6.881938760796911,0.1966268217370546,stop
41.603242,2.281708,E7,131.787,2022-04-29 15:53:51+00:00,89.0,6.056257343215019,0.06804783531702269,stop
41.603196,2.281669,E7,132.268,2022-04-29 15:55:20+00:00,57.0,4.9670527142184735,0.08714127568804339,stop
41.603203,2.281728,E7,132.33,2022-04-29 15:56:17+00:00,24.0,5.7875141532864225,0.24114642305360093,stop
41.603151,2.281725,E7,132.482,2022-04-29 15:56:41+00:00,4.0,5.343182149342821,1.3357955373357053,flight
41.603103,2.281722,E7,132.553,2022-04-29 15:56:45+00:00,6.0,6.013730020970899,1.0022883368284832,flight
41.603049,2.281726,E7,132.323,2022-04-29 15:56:51+00:00,4.0,6.136035277675164,1.534008819418791,flight
41.602994,2.28172,E7,132.383,2022-04-29 15:56:55+00:00,3.0,5.4904522518414085,1.8301507506138028,flight
41.602948,2.281696,E7,132.311,2022-04-29 15:56:58+00:00,4.0,5.115642393637976,1.278910598409494,flight
41.602902,2.281697,E7,132.509,2022-04-29 15:57:02+00:00,28.0,5.568938606640264,0.19889066452286658,stop
41.602885,2.28176,E7,132.573,2022-04-29 15:57:30+00:00,9.0,5.102386583521047,0.5669318426134496,flight
41.60289,2.281821,E7,132.462,2022-04-29 15:57:39+00:00,8.0,5.034547986258202,0.6293184982822753,flight
41.602903,2.281879,E7,132.413,2022-04-29 15:57:47+00:00,3.0,6.27071554230486,2.0902385141016198,flight
41.602934,2.281942,E7,132.325,2022-04-29 15:57:50+00:00,4.0,5.515831212495381,1.3789578031238452,flight
41.602939,2.282008,E7,132.375,2022-04-29 15:57:54+00:00,11.0,5.146782103400934,0.46788928212735764,stop
41.602925,2.282067,E7,132.356,2022-04-29 15:58:05+00:00,5.0,5.660061846080412,1.1320123692160824,flight
41.602934,2.282134,E7,132.438,2022-04-29 15:58:10+00:00,5.0,5.784824867541175,1.156964973508235,flight
41.602923,2.282202,E7,132.47,2022-04-29 15:58:15+00:00,4.0,5.606193578337173,1.4015483945842933,flight
41.6029,2.282262,E7,132.521,2022-04-29 15:58:19+00:00,9.0,6.054698746186594,0.6727443051318438,flight
41.602855,2.282303,E7,132.666,2022-04-29 15:58:28+00:00,2.0,5.222807520813549,2.6114037604067746,flight
41.60281,2.282321,E7,132.729,2022-04-29 15:58:30+00:00,11.0,6.795675424800962,0.6177886749819056,stop
