lat,lon,name,ele,time,At,d,v,stops
41.603431,2.282878,P1,139.728,2022-04-29 13:02:11+00:00,4.0,6.35726912240656,1.58931728060164,flight
41.603414,2.282805,P1,139.613,2022-04-29 13:02:15+00:00,5.0,5.164180808261029,1.0328361616522057,flight
41.603402,2.282745,P1,139.568,2022-04-29 13:02:20+00:00,7.0,5.4182245827652205,0.7740320832521743,flight
41.603387,2.282683,P1,139.564,2022-04-29 13:02:27+00:00,5.0,5.140192634086072,1.0280385268172145,flight
41.603412,2.282631,P1,139.442,2022-04-29 13:02:32+00:00,4.0,5.1981040609033355,1.2995260152258339,flight
41.603418,2.282569,P1,139.322,2022-04-29 13:02:36+00:00,5.0,5.844218935692772,1.1688437871385544,flight
41.603438,2.282504,P1,139.114,2022-04-29 13:02:41+00:00,5.0,6.024874385578661,1.2049748771157323,flight
41.603452,2.282434,P1,138.909,2022-04-29 13:02:46+00:00,4.0,5.251347739814053,1.3128369349535132,flight
41.603443,2.282372,P1,138.965,2022-04-29 13:02:50+00:00,4.0,6.5196859422974525,1.6299214855743631,flight
41.603437,2.282294,P1,138.924,2022-04-29 13:02:54+00:00,3.0,5.0675042376336155,1.6891680792112052,flight
41.603429,2.282234,P1,138.935,2022-04-29 13:02:57+00:00,3.0,5.280834646309821,1.760278215436607,flight
41.603404,2.28218,P1,138.997,2022-04-29 13:03:00+00:00,5.0,6.251864436200115,1.2503728872400228,flight
41.6034,2.282105,P1,138.986,2022-04-29 13:03:05+00:00,4.0,5.809311903267408,1.452327975816852,flight
41.603412,2.282037,P1,138.817,2022-04-29 13:03:09+00:00,5.0,5.890265765246005,1.1780531530492009,flight
41.603424,2.281968,P1,138.772,2022-04-29 13:03:14+00:00,4.0,5.434051356221841,1.3585128390554602,flight
41.603411,2.281905,P1,138.797,2022-04-29 13:03:18+00:00,5.0,5.063774241709055,1.012754848341811,flight
41.603437,2.281855,P1,138.783,2022-04-29 13:03:23+00:00,4.0,6.319166308921169,1.5797915772302922,flight
41.603437,2.281779,P1,138.794,2022-04-29 13:03:27+00:00,5.0,5.0731812133012815,1.0146362426602562,flight
